universe,min_history_days,min_daily_dollar_volume,earliest_universe_date,weight_name,stop_lb,seed_asset,risk_off_asset,multiple,cagr,sharpe,max_drawdown,annualized_turnover
loose,30,5000000,2022-12-31,base,12,eth,btc,26.544953812461365,1.6089700101187372,1.668543607385712,-0.5381286115605208,35.74186531944077
loose,30,5000000,2022-12-31,base,12,cash,btc,26.544953812461365,1.6089700101187372,1.668543607385712,-0.5381286115605208,35.74186531944077
medium,60,10000000,2023-01-30,breakout,12,btc,cash,26.294605696353074,1.6017495630078127,1.74645266424727,-0.3959299731275807,16.397978446852687
medium,60,10000000,2023-01-30,breakout,12,eth,cash,26.294605696353074,1.6017495630078127,1.74645266424727,-0.3959299731275807,16.397978446852687
medium,60,10000000,2023-01-30,breakout,12,cash,cash,26.294605696353074,1.6017495630078127,1.74645266424727,-0.3959299731275807,16.397978446852687
medium,60,10000000,2023-01-30,balanced,14,btc,btc,26.056476526959568,1.5948362526364472,1.596627509646042,-0.5746927933893388,36.91168485463139
medium,60,10000000,2023-01-30,balanced,14,eth,btc,26.056476526959568,1.5948362526364472,1.596627509646042,-0.5746927933893388,36.91168485463139
medium,60,10000000,2023-01-30,balanced,14,cash,btc,26.056476526959568,1.5948362526364472,1.596627509646042,-0.5746927933893388,36.91168485463139
medium,60,10000000,2023-01-30,breakout,13,btc,cash,25.63551344336599,1.5825047899450735,1.71084627781525,-0.45763649555870345,16.39846952888789
medium,60,10000000,2023-01-30,breakout,13,eth,cash,25.63551344336599,1.5825047899450735,1.71084627781525,-0.45763649555870345,16.39846952888789
medium,60,10000000,2023-01-30,breakout,13,cash,cash,25.63551344336599,1.5825047899450735,1.71084627781525,-0.45763649555870345,16.39846952888789
loose,30,5000000,2022-12-31,balanced,13,btc,cash,25.135121490323836,1.5676587753346314,1.7058809597405207,-0.3479633699792398,16.398533173722583
loose,30,5000000,2022-12-31,balanced,13,eth,cash,25.135121490323836,1.5676587753346314,1.7058809597405207,-0.3479633699792398,16.398533173722583
loose,30,5000000,2022-12-31,balanced,13,cash,cash,25.135121490323836,1.5676587753346314,1.7058809597405207,-0.3479633699792398,16.398533173722583
loose,30,5000000,2022-12-31,breakout,13,btc,btc,24.536607690763926,1.549624369553337,1.5669131979273123,-0.5014878515484156,35.15509294513514
loose,30,5000000,2022-12-31,breakout,13,eth,btc,24.536607690763926,1.549624369553337,1.5669131979273123,-0.5014878515484156,35.15509294513514
loose,30,5000000,2022-12-31,breakout,13,cash,btc,24.536607690763926,1.549624369553337,1.5669131979273123,-0.5014878515484156,35.15509294513514
medium,60,10000000,2023-01-30,base,12,btc,btc,23.784054367694367,1.5265012112898373,1.5946500072979772,-0.49391611235625055,36.327868748889244
