strategy,total_return,final_equity,cagr,vol,sharpe,maxdd,calmar,exposure,avg_gross,best_year,worst_year,beats_btc
BO_h2_lb30_ma20_x2,9.084636577491285,1008463.6577491285,0.49778084466262085,1.6546248160284533,1.0287379161720378,-0.9581108916757112,0.5195440830361662,0.48659003831417624,0.9826215416115716,19.587271983210186,-0.732512063832776,True
BO_h3_lb14_ma50_x2,8.833522042460514,983352.2042460514,0.4911932102727281,1.8240909180791314,1.0755305110819202,-0.9749293013864866,0.5038244409868308,0.5201149425287356,1.050677822333364,6.143453316103556,-0.6709398512637492,True
BO_h2_lb21_ma20_x1.5,8.544847223961067,954484.7223961067,0.48344645999950386,1.2188948352040243,0.909815150946005,-0.9462088153551318,0.5109299893999153,0.48659003831417624,0.7310886530871659,11.984729454673396,-0.6409957455843577,True
BO_h3_lb45_ma100_x2,7.810014420429848,881001.4420429848,0.462816594322758,1.843921588428689,1.0707680799094437,-0.9409551106837635,0.4918583140341767,0.5234674329501916,1.0610264232400446,16.74287317431906,-0.6997458194983943,True
BO_h1_lb30_ma50_x2,6.9342935199390325,793429.3519939033,0.4362883120569103,2.7246472842807665,1.2391027451540566,-0.9857415791129306,0.44259907596626535,0.5201149425287356,1.0673081686557093,3.499141383603331,-0.6131639667612443,True
BO_h2_lb45_ma100_x2,6.548584877752946,754858.4877752946,0.42383051552737383,1.7390481409707204,1.0248829288160075,-0.9380192988198147,0.4518356030207732,0.5234674329501916,1.0596132654168426,26.990897772466514,-0.6995638066265741,True
BO_h3_lb14_ma20_x1,6.535426599842754,753542.6599842755,0.42339633859229275,0.8202804070544634,0.8234965611793195,-0.7124732866488781,0.5942627555676363,0.48659003831417624,0.4877150592233832,2.414500482383883,-0.3820861830663346,True
BO_h1_lb45_ma50_x1,6.186919129645136,718691.9129645136,0.41166255173797084,1.098402805964407,0.8286982991153589,-0.8671176215908425,0.47474822502479097,0.5201149425287356,0.521054540907927,4.824134875550215,-0.6048533164716289,True
BO_h3_lb14_ma20_x1.25,6.109645842868535,710964.5842868536,0.40899744325282295,1.024621817160433,0.8237087935163078,-0.8095643009097517,0.5052068659564288,0.48659003831417624,0.6093715115815991,2.9760837337087613,-0.48002962686991313,True
BO_h1_lb21_ma20_x2,5.527210230317042,652721.0230317042,0.3881015911970025,2.2783913743847437,1.140623902458896,-0.9913527832338238,0.39148686296214646,0.48659003831417624,0.988810740090426,44.19455849509631,-0.8532715098713699,True
BO_h3_lb14_ma100_x2,5.250774024043227,625077.4024043226,0.3776406120077356,1.7848628870431449,1.0225068034417872,-0.9285187338014753,0.4067129700890646,0.5234674329501916,1.0581626531950337,5.703614448221063,-0.7260744264821486,True
BO_h1_lb45_ma100_x1.5,5.204177390668909,620417.7390668909,0.37583983957291767,1.6917718343895765,0.9725442247610572,-0.9165526081080115,0.41005812023026467,0.5234674329501916,0.7917739920872638,6.340884098437987,-0.596272768290292,True
BO_h2_lb14_ma20_x2,4.883215935145122,588321.5935145122,0.36312333441896616,1.714442489230212,0.9867926618173056,-0.9493724521562367,0.3824877513500966,0.48659003831417624,0.9837510840441615,12.80938231232091,-0.707090219220436,True
BO_h1_lb30_ma100_x2,4.850030743030194,585003.0743030194,0.36177610949766237,2.689825296275312,1.2089630217094345,-0.9755978801530849,0.37082502622996133,0.5234674329501916,1.0757335968773922,3.987025883864371,-0.7720394220577631,True
BO_h1_lb30_ma20_x1.5,4.562959037820031,556295.9037820031,0.34985073380582676,1.5756119053496642,0.9164851074476479,-0.9255559202139624,0.3779898395819792,0.48659003831417624,0.7348854163711999,7.2686974970012646,-0.49201292588581713,True
BO_h3_lb30_ma20_x2,4.431692407901981,543169.2407901981,0.3442277673609362,1.8030157572848204,0.9976293595303354,-0.9600282168874791,0.3585600519919736,0.48659003831417624,0.9855022457110033,12.1354859088389,-0.6924994491196415,True
