cycle_days,target_volatility,vol_window,stop_mode,offset_days,cost_bps,multiple,cagr,sharpe,max_drawdown,annualized_turnover,average_exposure,average_holdings
14,0.3,30,own75,4,20.0,6.416608823299112,0.4822459130387209,1.3698595218486804,-0.28852988257291656,15.726926536022269,0.3530648853734897,0.8394202898550724
14,0.4,30,none,4,2.0,12.075151319290823,0.6945523261065047,1.417509141966168,-0.3892047534597801,21.863940694872685,0.5286134435498013,0.9971014492753624
14,0.4,30,none,4,20.0,10.023367919135167,0.6290392521137116,1.3276291470531556,-0.39615264410111684,21.863940694872685,0.5286134435498013,0.9971014492753624
14,0.4,30,own75,4,2.0,10.672054709244293,0.6508116553332095,1.3962429786406407,-0.3614093521614944,19.616044084344225,0.4384376189546773,0.8394202898550724
14,0.4,30,own75,4,20.0,9.030048589197353,0.5934402322231767,1.312184838006796,-0.36775281007196736,19.616044084344225,0.4384376189546773,0.8394202898550724
14,0.5,30,none,4,2.0,14.900876596330948,0.7716944021972318,1.3330382705381878,-0.46270319925950354,25.58792774527191,0.6131557226995882,0.9971014492753624
14,0.5,30,none,4,20.0,11.982342266937113,0.6917864798987239,1.246746614423538,-0.47033385205163847,25.58792774527191,0.6131557226995882,0.9971014492753624
14,0.5,30,own75,4,2.0,13.833549195952704,0.744034097400839,1.3350690155651292,-0.4324268291471076,22.989651185009887,0.5126570956844778,0.8394202898550724
14,0.5,30,own75,4,20.0,11.373243156029572,0.6732028488163344,1.2543440660902756,-0.43946687880300905,22.989651185009887,0.5126570956844778,0.8394202898550724
14,0.6,30,none,4,2.0,17.948237214574945,0.8428825383560783,1.2903679999462543,-0.5274624078962692,28.818718615256238,0.6882394449647058,0.9971014492753624
14,0.6,30,none,4,20.0,14.040527827800167,0.7495264260296182,1.2066280231163158,-0.5354841326294437,28.818718615256238,0.6882394449647058,0.9971014492753624
14,0.6,30,own75,4,2.0,17.6422513503073,0.8361856805343708,1.3124581608094796,-0.4967411401849011,25.870062105260647,0.5778108055007992,0.8394202898550724
14,0.6,30,own75,4,20.0,14.152613270598497,0.7524741020114345,1.2341181179559229,-0.5042239882867633,25.870062105260647,0.5778108055007992,0.8394202898550724
