date,coin_id,symbol,name,price,volume_usd,market_cap,price_source,volume_source,market_cap_source,current_market_cap,current_rank
2022-05-26,solana,SOL,Solana,43.43,340962341.48,24988915194.89244,cryptocompare,cryptocompare,proxy_anchor,49354817048.0,7.0
2022-05-26,ripple,XRP,XRP,0.3924,90898284.59,24160063566.54522,cryptocompare,cryptocompare,proxy_anchor,87944651031.0,4.0
2022-05-26,cardano,ADA,Cardano,0.4787,62983793.29,17692110683.66889,cryptocompare,cryptocompare,proxy_anchor,9185710657.0,15.0
2022-05-26,polkadot,DOT,Polkadot,9.142,43116870.68,15370834222.091434,cryptocompare,cryptocompare,proxy_anchor,2141346104.0,42.0
2022-05-26,dogecoin,DOGE,Dogecoin,0.07782,33818927.23,11979347432.874651,cryptocompare,cryptocompare,proxy_anchor,14599392802.0,10.0
2022-05-26,avalanche-2,AVAX,Avalanche,23.43,130273131.12,10101315110.055727,cryptocompare,cryptocompare,proxy_anchor,4039334038.0,27.0
2022-05-26,tron,TRX,TRON,0.08225,57171449.34,7799154647.116528,cryptocompare,cryptocompare,proxy_anchor,31410698540.0,8.0
2022-05-26,crypto-com-chain,CRO,Cronos,0.17,7225326.65,7403178669.181996,cryptocompare,cryptocompare,proxy_anchor,3050555428.0,34.0
2022-05-26,near,NEAR,NEAR Protocol,5.229,2713817.89,6763556303.951848,cryptocompare,cryptocompare,proxy_anchor,1776627837.0,47.0
2022-05-26,shiba-inu,SHIB,Shiba Inu,1.059e-05,38155722.26,6233800073.909721,cryptocompare,cryptocompare,proxy_anchor,3580883262.0,32.0
2022-05-26,filecoin,FIL,Filecoin,7.623,5044113.54,5895035232.586608,cryptocompare,cryptocompare,proxy_anchor,718746194.0,83.0
2022-05-26,litecoin,LTC,Litecoin,63.41,35368273.29,4885770766.436709,cryptocompare,cryptocompare,proxy_anchor,4278871853.0,25.0
2022-05-26,chainlink,LINK,Chainlink,6.567,36542892.62,4772891487.484036,cryptocompare,cryptocompare,proxy_anchor,6830639644.0,19.0
2022-05-26,leo-token,LEO,LEO Token,4.917,242550.7,4527526749.953045,cryptocompare,cryptocompare,proxy_anchor,9536017417.0,14.0
2022-05-26,stellar,XLM,Stellar,0.1243,13164664.45,4122368104.2551575,cryptocompare,cryptocompare,proxy_anchor,5872983271.0,20.0
2022-05-26,internet-computer,ICP,Internet Computer,7.301,9208216.82,4029586939.4851956,cryptocompare,cryptocompare,proxy_anchor,1361733923.0,56.0
2022-05-26,hedera-hashgraph,HBAR,Hedera,0.0906,1318939.38,3924139376.1920266,cryptocompare,cryptocompare,proxy_anchor,3900574966.0,28.0
2022-05-26,bitcoin-cash,BCH,Bitcoin Cash,179.48,12242315.83,3593759487.47948,cryptocompare,cryptocompare,proxy_anchor,8931526249.0,16.0
2022-05-26,monero,XMR,Monero,189.06,17746248.08,3486599731.4412804,cryptocompare,cryptocompare,proxy_anchor,6838727045.0,18.0
